SiteName,SiteEngName,County,Township,Basin,River,TWD97Lon,TWD97Lat,TWD97TM2X,TWD97TM2Y,SiteAddress
竹崎大橋,Jhucida Bridge,嘉義縣,竹崎鄉,朴子溪流域,朴子溪,120.5462890,23.5249580,203670.48,2602488.46,嘉義縣竹崎鄉台3線公路(286公里處)
竹盛大橋,Jhushenda Bridge,苗栗縣,銅鑼鄉,西湖溪流域,西湖溪,120.7778480,24.4495100,227477.06,2704824.63,苗栗縣銅鑼鄉樟樹村台13號公路43km處
竹圍大橋,Jhuweida Bridge,桃園縣,大園鄉,南崁溪流域,南崁溪,121.2477790,25.1080280,274989.00,2777766.00,桃園縣大園鄉15號公路(濱海公路)
竹森大橋(原名銅鑼橋),Tongluo Bridge,苗栗縣,銅鑼鄉,西湖溪流域,西湖溪,120.7805990,24.4941930,227763.82,2709773.07,苗栗縣銅鑼鄉縣128號公路14km處
老飯店橋,Laofandian Bridge,桃園縣,楊梅鎮,社子溪流域,社子溪,121.1237410,24.9357900,262496.92,2758671.29,桃園縣楊梅鎮115號公路(楊新路一段)
西門大橋,Simenda Bridge,高雄市,美濃區,高屏溪流域,高屏溪,120.5358640,22.8986440,202384.57,2533134.86,高雄市美濃區永安路
西港大橋,Sigangda Bridge,台南市,西港區,曾文溪流域,曾文溪,120.2049360,23.1087690,168559.72,2556549.34,台南市西港區台19線公路(129公里處)
西湖橋(原名四湖橋),Sihhu Bridge,苗栗縣,西湖鄉,西湖溪流域,西湖溪,120.7526010,24.5632680,224939.97,2717428.27,苗栗縣西湖鄉台1號公路119號公路交會處
西濱快速道路(取代大安溪出海口),Da-an River Mouth,台中市,大甲區,大安溪流域,大安溪,120.6105972,24.4014167,209208.34,2700283.62,台中市台61線西濱快速道路135公里處
西螺大橋,Siluoda Bridge,雲林縣,西螺鎮,濁水溪流域,濁水溪,120.4599750,23.8079550,194975.23,2633859.68,雲林縣西螺鎮台1號公路221km處
利民橋,Limin Bridge,彰化縣,芬園鄉,烏溪流域,烏溪,120.6375690,24.0134680,213129.39,2656562.10,彰化縣芬園鄉社口村復興路59號
利澤簡橋,Lidzugein Bridge,宜蘭縣,五結鄉,冬山河流域,冬山河,121.8141170,24.6698980,332397.00,2729460.00,宜蘭縣五結鄉協和路全祥新村冬山河親水公園旁
宏太橋,Hontia Bridge,桃園縣,桃園市,南崁溪流域,茄苳溪(桃),121.2832830,24.9886300,278597.34,2764548.05,桃園縣桃園市上海路與中山路交叉口附近
秀朗橋,Ciulan Bridge,新北市,中和區,淡水河流域,新店溪,121.5285730,24.9887150,303359.52,2764631.65,新北市中和區景平路與環河路交會處
走馬瀨橋,Dzomalia Bridge,台南市,大內區,曾文溪流域,曾文溪,120.4304540,23.1375820,191673.16,2559632.04,台南市大內區走馬瀨農場入口處
里港大橋,Ligangda Bridge,屏東縣,里港鄉,高屏溪流域,高屏溪,120.5033910,22.7944790,199014.27,2521611.11,屏東縣里港鄉台3線公路(428公里處)
里嶺大橋(取代嶺口橋),Linko Bridge,高雄市,旗山區,高屏溪流域,高屏溪,120.4486170,22.7728480,193381.74,2519235.70,高雄市旗山區旗楠三路
初來橋,Choulia Bridge,台東縣,海端鄉,卑南溪流域,卑南溪,121.1691280,23.1256380,267321.68,2558205.55,台東縣海端鄉台20甲公路0公里處
卓蘭大橋(原名為蘭勢橋),Lanshih Bridge,苗栗縣,卓蘭鎮,大安溪流域,大安溪,120.8183930,24.3083860,231567.31,2689188.69,苗栗縣卓蘭鎮3號公路
協成橋,Ciechen Bridge,苗栗縣,卓蘭鎮,大安溪流域,大安溪,120.8359370,24.3081520,233347.97,2689160.62,苗栗縣卓蘭鎮五十五號公路
和平橋,Heping Bridge,嘉義縣,溪口鄉,北港溪流域,三疊溪,120.3985110,23.6084750,188619.00,2611793.00,嘉義縣溪口鄉157道和平路
忠孝大橋,Jhongshou Bridge.,新北市,三重區,淡水河流域,淡水河本流,121.5002090,25.0511440,300470.67,2771535.72,台北市中正區忠孝西路(中華路附近)
昇高大橋(取代深坑中正橋),Shenkeng Jhongjheng Bridge,新北市,深坑區,淡水河流域,景美溪,121.6128520,25.0006030,311861.76,2765984.17,新北市深坑區深坑路中正橋
昌農橋,Beinoon Brideg,屏東縣,屏東市,高屏溪流域,高屏溪,120.4580290,22.6302780,194290.58,2503445.10,屏東縣屏東市189線公路(2.3公里處)
東石大橋,Dongshihda Bridge,嘉義縣,東石鄉,朴子溪流域,朴子溪,120.1774290,23.4592450,165962.29,2595378.36,嘉義縣東石鄉嘉168線公路
東海橋,Donghi Bridge,台中市,西屯區,烏溪流域,烏溪,120.6279360,24.1771020,212197.45,2674687.13,台中市西屯區中港路三段44-8號
東港大橋,Donggangda Bridge,屏東縣,東港鎮,東港溪流域,東港溪,120.4596350,22.4777170,194394.47,2486551.32,屏東縣東港鎮台17線公路(264.5公里處)
東勢大橋(原名東豐大橋),Dongfonda Bridge,台中市,東勢區,大甲溪流域,大甲溪,120.8214120,24.2610540,231866.97,2683946.24,台中市東勢區台3號公路22km處
東興大橋,Dongcin Bridge,苗栗縣,頭份鎮,中港溪流域,中港溪,120.9079070,24.6805520,240680.23,2730398.80,苗栗縣頭份鎮和平里
東興橋,Dong Xing Bridge,新竹縣,新豐鄉,新豐溪流域,新豐溪,121.0103101,24.9091388,251035.39,2755692.18,新竹縣新豐鄉竹2線與竹2-1線交會口
松竹大橋,Songchiuda Bridge,嘉義縣,竹崎鄉,朴子溪流域,朴子溪,120.5562130,23.5269310,204684.51,2602703.77,嘉義縣竹崎鄉竹崎親水公園上游
松鶴橋(原為長青橋),Changcing Bridge,台中市,和平區,大甲溪流域,大甲溪,120.9803150,24.1793660,248000.04,2674887.76,台中市和平區台8線29.5km處
板新取水口,Bansin Intake,新北市,鶯歌區,淡水河流域,大漢溪,121.3414250,24.9307050,284482.89,2758145.69,新北市鶯歌區鳶山攔水堰(北84線底)
枋山大橋(原為枋山橋),Fangshan Bridge,屏東縣,枋山鄉,枋山溪流域,枋山溪,120.6540670,22.2560990,214346.08,2461953.44,屏東縣枋山鄉台1線公路(488公里處)
枋寮大橋,Fangliuda Bridge,屏東縣,枋寮鄉,率芒溪流域,率芒溪,120.6117520,22.3432990,210009.61,2471619.19,屏東縣枋寮鄉台1線公路(437公里處)
林邊大橋,Linbianda Bridge,屏東縣,林邊鄉,林邊溪流域,林邊溪,120.5232660,22.4308170,200926.03,2481336.00,屏東縣林邊鄉台17號公路(264公里處)
武荖坑,Woolaokan,宜蘭縣,蘇澳鎮,新城溪流域,新城溪,121.8108600,24.6035000,332110.83,2722103.59,宜蘭縣蘇澳鎮武荖坑遊樂區內
